                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0239,                0.71397,                 1.1736,                0.69505,                0.62263,                0.65905,                 0.3665,                 1.7936,                 1.5668,                 1.7339,             0.00055805,             0.00055805,             0.00055805
                     69,                 1.0105,                 0.7042,                 1.1492,                0.67156,                0.68864,                0.70038,                 0.3895,                 1.7746,                 1.3571,                  1.737,             0.00055639,             0.00055639,             0.00055639
                     70,                 1.0274,                 0.7365,                 1.1824,                0.66296,                0.64379,                0.67639,                0.36788,                 1.7871,                 1.4571,                 1.7719,             0.00055474,             0.00055474,             0.00055474
                     71,                 1.0323,                0.74826,                 1.1703,                0.71602,                0.58443,                0.67092,                0.36465,                 1.7709,                 1.4425,                 1.7671,             0.00055309,             0.00055309,             0.00055309
                     72,                 1.0264,                0.71485,                 1.1716,                0.66668,                0.66228,                0.66917,                0.36357,                  1.816,                 1.4194,                 1.7978,             0.00055144,             0.00055144,             0.00055144
                     73,                 1.0329,                0.74417,                 1.1703,                0.66251,                0.64162,                0.67697,                0.37428,                 1.8126,                 1.3985,                 1.8183,             0.00054979,             0.00054979,             0.00054979
                     74,                 1.0282,                0.71968,                 1.1738,                0.62202,                0.64321,                0.66617,                0.35769,                 1.7843,                 1.4248,                 1.7725,             0.00054814,             0.00054814,             0.00054814
                     75,                  1.043,                0.72455,                 1.1764,                0.61018,                0.67703,                0.67011,                0.35965,                 1.8269,                 1.5312,                 1.7854,             0.00054649,             0.00054649,             0.00054649
                     76,                 1.0175,                0.71691,                 1.1633,                0.66854,                0.67128,                0.67567,                0.36861,                 1.7911,                 1.3747,                 1.7716,             0.00054484,             0.00054484,             0.00054484
                     77,                 1.0371,                0.72536,                 1.1802,                0.69242,                0.67093,                 0.6856,                0.38298,                 1.8034,                 1.3482,                 1.7964,             0.00054319,             0.00054319,             0.00054319
                     78,                 1.0334,                0.73291,                 1.1756,                0.68404,                0.63786,                0.67782,                0.36765,                 1.7955,                 1.3291,                 1.7973,             0.00054154,             0.00054154,             0.00054154
                     79,                 1.0304,                0.70215,                 1.1619,                0.64224,                0.65914,                0.66787,                0.35836,                 1.8137,                 1.3203,                 1.8124,             0.00053989,             0.00053989,             0.00053989
                     80,                 1.0517,                0.74402,                 1.1746,                0.66561,                0.59087,                0.66212,                0.35252,                 1.8216,                 1.4593,                  1.823,             0.00053824,             0.00053824,             0.00053824
                     81,                 1.0136,                0.70032,                  1.157,                0.67968,                0.66032,                0.67521,                0.35265,                 1.8026,                 1.3639,                 1.7905,             0.00053658,             0.00053658,             0.00053658
                     82,                 1.0376,                 0.7221,                 1.1774,                0.66363,                0.61098,                 0.6639,                0.35113,                 1.8284,                 1.3963,                 1.7957,             0.00053493,             0.00053493,             0.00053493
                     83,                 1.0136,                0.70713,                 1.1692,                0.70621,                0.60848,                0.67889,                0.36687,                 1.8291,                 1.4648,                 1.7785,             0.00053328,             0.00053328,             0.00053328
                     84,                 1.0205,                 0.7085,                 1.1621,                0.74091,                0.61896,                0.68577,                0.37811,                 1.7987,                 1.3839,                  1.789,             0.00053163,             0.00053163,             0.00053163
                     85,                 1.0193,                0.73084,                 1.1722,                0.65664,                0.68813,                0.68538,                0.37843,                 1.7804,                 1.4233,                 1.7668,             0.00052998,             0.00052998,             0.00052998
                     86,                 1.0098,                0.69296,                  1.143,                0.71093,                0.63968,                0.68227,                0.37565,                 1.8032,                 1.3158,                 1.7872,             0.00052833,             0.00052833,             0.00052833
                     87,                 1.0247,                0.68386,                  1.164,                0.72826,                0.62587,                0.68348,                0.36799,                 1.8346,                 1.4171,                 1.7908,             0.00052668,             0.00052668,             0.00052668
                     88,                0.99917,                0.67697,                 1.1495,                0.73437,                0.64939,                 0.7045,                0.37258,                 1.8089,                 1.3051,                 1.7813,             0.00052503,             0.00052503,             0.00052503
                     89,                0.99673,                0.68275,                 1.1566,                0.71727,                0.65437,                 0.6995,                 0.3664,                 1.8105,                 1.3276,                 1.7674,             0.00052338,             0.00052338,             0.00052338
                     90,                0.99704,                0.69314,                 1.1481,                0.61645,                0.65916,                0.65992,                0.35954,                 1.7816,                 1.3716,                 1.7582,             0.00052173,             0.00052173,             0.00052173
                     91,                 1.0017,                0.69695,                 1.1558,                0.67084,                0.66963,                 0.6966,                0.37231,                  1.776,                 1.3533,                 1.7676,             0.00052008,             0.00052008,             0.00052008
                     92,                0.98837,                0.66382,                  1.141,                0.75615,                0.65743,                0.70234,                0.39029,                 1.7617,                 1.2858,                 1.7294,             0.00051843,             0.00051843,             0.00051843
                     93,                 1.0215,                0.71179,                 1.1722,                0.65485,                0.67028,                0.68701,                0.37508,                 1.7901,                  1.344,                 1.7376,             0.00051677,             0.00051677,             0.00051677
                     94,                0.99777,                0.67896,                 1.1435,                 0.6882,                 0.6432,                 0.6855,                0.37485,                  1.823,                 1.3484,                 1.7878,             0.00051512,             0.00051512,             0.00051512
                     95,                0.99133,                0.68098,                 1.1492,                0.71649,                0.69371,                0.72975,                0.40036,                 1.8015,                 1.2015,                 1.7743,             0.00051347,             0.00051347,             0.00051347
                     96,                0.99568,                0.67044,                  1.143,                0.69202,                0.69529,                 0.7116,                0.38733,                 1.7809,                  1.264,                 1.7562,             0.00051182,             0.00051182,             0.00051182
                     97,                 1.0301,                0.71321,                 1.1728,                0.70289,                0.67558,                0.70406,                0.37679,                 1.7884,                 1.2437,                 1.7456,             0.00051017,             0.00051017,             0.00051017
                     98,                0.99464,                0.68535,                 1.1564,                0.69027,                0.67622,                0.69544,                0.36747,                  1.794,                 1.3002,                 1.7552,             0.00050852,             0.00050852,             0.00050852
                     99,                0.98016,                0.69309,                 1.1476,                0.68597,                0.67274,                 0.7035,                0.37745,                 1.8236,                 1.2701,                 1.7865,             0.00050687,             0.00050687,             0.00050687
                    100,                 1.0001,                0.69772,                 1.1577,                 0.6996,                0.63589,                0.67201,                0.36546,                 1.8037,                 1.4811,                  1.775,             0.00050522,             0.00050522,             0.00050522
                    101,                 1.0067,                0.69565,                 1.1676,                0.68905,                0.62103,                0.68232,                0.37675,                 1.8042,                 1.4224,                 1.7624,             0.00050357,             0.00050357,             0.00050357
