               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.037667,            0.034852,           0.0055101,             0.67764,             0.61202,             0.65057,             0.31502,            0.044532,            0.026709,             0.01073,            0.007723,            0.007723,            0.007723
                  71,            0.037419,            0.035696,           0.0058685,             0.62172,              0.5996,             0.63795,             0.32037,            0.045866,            0.027234,            0.021085,             0.00769,             0.00769,             0.00769
                  72,            0.037311,            0.035514,           0.0055953,             0.65932,             0.61893,              0.6627,             0.31931,            0.046169,            0.027199,            0.015264,            0.007657,            0.007657,            0.007657
                  73,            0.038334,            0.036032,           0.0046088,             0.62367,             0.63268,             0.64559,             0.33429,            0.044869,            0.026681,            0.015288,            0.007624,            0.007624,            0.007624
                  74,            0.037482,            0.035198,           0.0055762,             0.63691,             0.64382,             0.64183,              0.3298,            0.046335,            0.026827,            0.012813,            0.007591,            0.007591,            0.007591
                  75,             0.03709,            0.033727,           0.0049128,             0.70626,              0.6581,             0.69693,             0.34529,            0.045109,            0.027068,            0.010227,            0.007558,            0.007558,            0.007558
                  76,            0.036387,            0.035183,           0.0054187,             0.64009,             0.61639,             0.64204,             0.31725,            0.046487,            0.027197,            0.015127,            0.007525,            0.007525,            0.007525
                  77,            0.036999,            0.035841,           0.0055985,             0.65971,             0.62939,             0.65753,             0.32736,             0.04594,            0.026741,           0.0092361,            0.007492,            0.007492,            0.007492
                  78,            0.037294,            0.036013,           0.0052051,             0.59493,             0.72599,             0.65961,             0.33081,            0.044688,            0.026502,           0.0094321,            0.007459,            0.007459,            0.007459
                  79,            0.037527,            0.035187,           0.0054168,             0.66271,             0.61656,             0.65122,             0.32791,            0.045517,            0.027175,            0.013726,            0.007426,            0.007426,            0.007426
                  80,            0.037411,            0.034537,           0.0051584,             0.66955,             0.62673,             0.65766,             0.31798,            0.046264,            0.027395,            0.011295,            0.007393,            0.007393,            0.007393
                  81,            0.037516,            0.034138,           0.0050022,             0.67492,             0.62306,             0.65627,               0.322,            0.044709,            0.027553,            0.011396,             0.00736,             0.00736,             0.00736
                  82,            0.036724,             0.03461,           0.0049631,             0.61815,             0.65818,             0.66209,             0.33832,            0.044702,            0.026582,            0.010231,            0.007327,            0.007327,            0.007327
                  83,            0.037637,            0.037268,           0.0047778,             0.71545,             0.64724,              0.7018,             0.35492,            0.043641,            0.026373,            0.010796,            0.007294,            0.007294,            0.007294
                  84,            0.037261,            0.036279,           0.0054537,             0.66541,             0.60909,             0.66132,             0.33278,            0.045102,            0.026589,            0.012115,            0.007261,            0.007261,            0.007261
                  85,            0.036535,            0.034505,           0.0058773,             0.71304,             0.63067,             0.67228,             0.31664,            0.046575,            0.028134,            0.013188,            0.007228,            0.007228,            0.007228
                  86,            0.036554,            0.034609,           0.0062519,              0.6335,             0.62519,             0.64007,             0.30836,            0.045531,            0.027532,            0.011255,            0.007195,            0.007195,            0.007195
                  87,            0.035816,            0.034364,           0.0055164,             0.64739,             0.64205,             0.65741,             0.32046,            0.045266,            0.026941,            0.018117,            0.007162,            0.007162,            0.007162
                  88,            0.036735,            0.036367,           0.0049775,             0.68998,             0.66084,             0.69515,             0.34738,            0.044944,            0.026931,            0.011888,            0.007129,            0.007129,            0.007129
                  89,             0.03595,            0.033401,           0.0056926,             0.60511,             0.65178,             0.64375,             0.32172,              0.0461,            0.027869,            0.013674,            0.007096,            0.007096,            0.007096
                  90,            0.036437,             0.03359,             0.00454,             0.67819,             0.64341,             0.66878,             0.32522,            0.044711,            0.027412,              0.0135,            0.007063,            0.007063,            0.007063
                  91,            0.035708,            0.035298,           0.0053428,             0.63071,             0.63261,              0.6616,             0.32912,            0.044707,            0.027067,            0.017172,             0.00703,             0.00703,             0.00703
                  92,            0.036284,            0.034041,           0.0049075,              0.6255,               0.631,             0.64887,              0.3166,            0.045137,            0.027132,            0.012171,            0.006997,            0.006997,            0.006997
                  93,            0.036668,            0.036203,            0.004933,             0.69046,             0.66417,             0.66611,             0.34167,            0.043668,            0.026841,            0.010314,            0.006964,            0.006964,            0.006964
                  94,            0.036301,            0.035284,           0.0057767,             0.64215,             0.68439,             0.67679,             0.34148,             0.04463,            0.026831,            0.012076,            0.006931,            0.006931,            0.006931
                  95,             0.03594,            0.033688,           0.0048817,             0.71854,             0.57552,             0.65509,              0.3298,            0.045056,            0.028016,            0.011965,            0.006898,            0.006898,            0.006898
